# GLoBES neutrino oscillation simulation
# --------------------------------------
#
# Run started on Thu Oct 17 21:09:58 2019
#
# Command line:   ./nu -f 4 -a PARAM_SCAN --no-ih -t M4_GAMMA=1,MA_OVER_M4=0.9, -p DM41,3.,6.,15,LOGSCALE -p Ue4,0.,0.3,30 -p Um4,0.,0.2,20 -e E776 -e ICARUS-2014 -e OPERA -e LSND_IVAN -e KARMEN_IVAN -e MB_JK -e DECAY_KINEMATICS -e FREE_STREAMING 
#
# NU_RANK and/or NU_SIZE not defined. Assuming no parallelization.
# Using NuSQuIDS probability engine. Majorana=0
# Initializing ICARUS code, Neutrino 2014 version ...
#   Signal      normalization: 15.522
#   BG \nu_e    normalization: 10.3358
#   BG \nu_\tau normalization: 2.22053
# Using 4 flavor model
# Simulating the following experiments:
#   E776
#   ICARUS-2014
#   OPERA
#   LSND_IVAN
#   KARMEN_IVAN
#   MB_JK
#   DECAY_KINEMATICS
#   FREE_STREAMING
# Including the following AEDL files:
#   E776.glb (version 3.0.0)
#   icarus-2014.glb (version 3.0.0)
#   opera.glb (version 3.0.0)
#
# AEDL variables:
#
# External analysis routines included:
#   LSND (Ivan's code)
#   KARMEN (Ivan's code)
#   MiniBooNE (Joachim's code)
#   Beta decay kinematics
#   Cosmology (free-streaming constraint)
#
# True oscillation parameters (only nonzero params shown):
#   TH12 = 0.58678
#   TH13 = 0.149051
#   TH23 = 0.823795
#   DELTA_0 = 4.71239
#   DM21 = 7.4e-05
#   DM31 = 0.002494
#   MA_OVER_M4 = 0.9
#   M4_GAMMA = 1
# External priors:
#
# Miscellaneous options:
#   Constraint \eps^s = \eps^{d\dag}: NO
#   New reactor fluxes (1101.2663):   YES
#
# Parameter scan:
#         DM41,          3,          6,    15  0x1
#          Ue4,          0,        0.3,    30  0x0
#          Um4,          0,        0.2,    20  0x0
# Marginalizing over:
#   
# Prescan for degeneracy finding:
# Degfinder flags: 0x2
#
# Initializing ICARUS code, Neutrino 2014 version ...
#   Signal      normalization: 15.522
#   BG \nu_e    normalization: 10.3358
#   BG \nu_\tau normalization: 2.22053
# Initializing Ivan's LSND code ...
# Initializing Ivan's KARMEN code ...
# Initializing external constraints code (beta decay/cosmo) ...
# Initializing Joachim's MiniBooNE code ...
# Flags in Joachim's MiniBooNE code: OSC_BG OSC_NORM OSC_NUMU 
# General parameter scan
#
#                  DM41             Ue4             Um4       chi2_NH          chi2_IH
                      3            0.07               0 1.667311644e+13           1e+50
                      3            0.07            0.01 9.320280749e+12           1e+50
                      3            0.07            0.02 4.650716119e+12           1e+50
                      3            0.07            0.03 2.087464216e+12           1e+50
                      3            0.07            0.04 8.517997568e+11           1e+50
                      3            0.07            0.05 3.190156312e+11           1e+50
                      3            0.07            0.06 1.103160168e+11           1e+50
                      3            0.07            0.07 3.528661427e+10           1e+50
                      3            0.07            0.08 1.042702588e+10           1e+50
                      3            0.07            0.09      2842105737           1e+50
                      3            0.07             0.1     718039765.3           1e+50
                      3            0.07            0.11     172481650.7           1e+50
                      3            0.07            0.12     42460669.84           1e+50
                      3            0.07            0.13     12659129.22           1e+50
                      3            0.07            0.14     5946710.428           1e+50
                      3            0.07            0.15     5435160.514           1e+50
                      3            0.07            0.16     9158627.208           1e+50
                      3            0.07            0.17     21974156.97           1e+50
                      3            0.07            0.18     59275541.38           1e+50
                      3            0.07            0.19       157924282           1e+50
                      3            0.07             0.2     394407731.7           1e+50
                      3            0.08               0 2.852954582e+13           1e+50
                      3            0.08            0.01 1.725189428e+13           1e+50
                      3            0.08            0.02 9.556822405e+12           1e+50
                      3            0.08            0.03 4.871508668e+12           1e+50
                      3            0.08            0.04 2.300681163e+12           1e+50
                      3            0.08            0.05 1.013711971e+12           1e+50
                      3            0.08            0.06   4.1896685e+11           1e+50
                      3            0.08            0.07 1.629112787e+11           1e+50
                      3            0.08            0.08 5.963079515e+10           1e+50
                      3            0.08            0.09 2.052186172e+10           1e+50
                      3            0.08             0.1      6631147504           1e+50
                      3            0.08            0.11      2015059453           1e+50
                      3            0.08            0.12     582248765.3           1e+50
                      3            0.08            0.13     165337952.6           1e+50
                      3            0.08            0.14     49784052.28           1e+50
                      3            0.08            0.15     18306161.39           1e+50
                      3            0.08            0.16     9949934.928           1e+50
                      3            0.08            0.17     9166561.417           1e+50
                      3            0.08            0.18     13807144.06           1e+50
                      3            0.08            0.19     28548605.08           1e+50
                      3            0.08             0.2     67713737.57           1e+50
                      3            0.09               0 4.585559498e+13           1e+50
                      3            0.09            0.01 2.943924817e+13           1e+50
                      3            0.09            0.02 1.762800306e+13           1e+50
                      3            0.09            0.03 9.871741671e+12           1e+50
                      3            0.09            0.04 5.193405429e+12           1e+50
                      3            0.09            0.05 2.579586944e+12           1e+50
                      3            0.09            0.06 1.215056746e+12           1e+50
                      3            0.09            0.07 5.444152448e+11           1e+50
                      3            0.09            0.08 2.323795703e+11           1e+50
                      3            0.09            0.09 9.449173287e+10           1e+50
                      3            0.09             0.1 3.656398503e+10           1e+50
                      3            0.09            0.11 1.344774974e+10           1e+50
                      3            0.09            0.12      4702593842           1e+50
                      3            0.09            0.13      1571684252           1e+50
                      3            0.09            0.14     510148194.6           1e+50
                      3            0.09            0.15     166927633.7           1e+50
                      3            0.09            0.16     59237290.92           1e+50
                      3            0.09            0.17      25659227.9           1e+50
                      3            0.09            0.18     15624576.57           1e+50
                      3            0.09            0.19     14650374.49           1e+50
                      3            0.09             0.2     20564888.15           1e+50
                      3             0.1               0 7.015969404e+13           1e+50
                      3             0.1            0.01 4.721298686e+13           1e+50
                      3             0.1            0.02 3.001969578e+13           1e+50
                      3             0.1            0.03 1.806557668e+13           1e+50
                      3             0.1            0.04 1.032074823e+13           1e+50
